client
since 2017-07-22 23:12
NAME                                                            ADDRESS                                                                                          ACTIVE  INACTIVE  MAX-ACTIVE    COUNT  ERRORS  TIMEOUTS   LATENCY  PEAK-LATENCY  THROUGHPUT
com.ericsson.em.am.ca                                           https://f5.mtn.co.ug:9999/sp                                                                          2         5         128   293457   99751        36    201 ms      20039 ms         6/s
  /sp/cancelpreapproval                                         https://f5.mtn.co.ug:9999/sp/cancelpreapproval                                                        0         -           -     1373       0         -     78 ms      10310 ms         0/s
  /sp/debit                                                     https://f5.mtn.co.ug:9999/sp/debit                                                                    2         -           -    87637   14126        25    227 ms      20039 ms         2/s
  /sp/getaccountholderidentification                            https://f5.mtn.co.ug:9999/sp/getaccountholderidentification                                           0         -           -       88       0         -     31 ms        259 ms         0/s
  /sp/getaccountholderinfo                                      https://f5.mtn.co.ug:9999/sp/getaccountholderinfo                                                     0         -           -    12669     935         -    135 ms      11163 ms         1/s
  /sp/getbalance                                                https://f5.mtn.co.ug:9999/sp/getbalance                                                               0         -           -       14       0         -    163 ms       1267 ms         0/s
  /sp/gettransactionstatus                                      https://f5.mtn.co.ug:9999/sp/gettransactionstatus                                                     0         -           -    34333   22720         -     26 ms      14454 ms         1/s
  /sp/paymentcompleted                                          https://f5.mtn.co.ug:9999/sp/paymentcompleted                                                         0         -           -    24206       8         3     32 ms      20021 ms         1/s
  /sp/sptransfer                                                https://f5.mtn.co.ug:9999/sp/sptransfer                                                               0         -           -    71038   61962         8    443 ms      20029 ms         1/s
  /sp/validateaccountholder                                     https://f5.mtn.co.ug:9999/sp/validateaccountholder                                                    0         -           -    62099       0         -    677 ms      14190 ms         0/s
com.ericsson.em.am.ca.agiml                                     http://172.22.10.104:9021/                                                                            2         7         128    48818       0         -    219 ms       6197 ms         2/s
  /                                                             http://172.22.10.104:9021/                                                                            2         -           -    48818       0         -    219 ms       6197 ms         2/s
com.ericsson.em.am.ca.agiml                                     http://172.22.10.104:9021/                                                                            4        52         128   415252       0         -    351 ms      11170 ms        11/s
  /                                                             http://172.22.10.104:9021/                                                                            4         -           -   415252       0         -    351 ms      11170 ms        11/s
com.ericsson.em.am.ca.bank                                      https://f5.mtn.co.ug:9999/sp                                                                          0         2         128     2121      20         -    468 ms      14009 ms         0/s
  /sp/sptransfer                                                https://f5.mtn.co.ug:9999/sp/sptransfer                                                               0         -           -     2121      20         -    468 ms      14009 ms         0/s
com.ericsson.em.am.ca.barclaysb2w                               https://wallets.trueafrican.com:8310/ecw/barclays                                                     0         0         128        0       0         -      0 ms          0 ms         0/s
com.ericsson.em.am.ca.barclaysw2b                               https://wallets.trueafrican.com:8310/ecw/barclays                                                     0         0         128       24       0         -    325 ms        494 ms         0/s
  /ecw/barclays/                                                https://wallets.trueafrican.com:8310/ecw/barclays/                                                    0         -           -       24       0         -    325 ms        494 ms         0/s
com.ericsson.em.am.ca.barclaysw2b                               https://wallets.trueafrican.com:8310/ecw/barclays                                                     0         0         128       27       0         1   3312 ms      20078 ms         0/s
  /ecw/barclays/                                                https://wallets.trueafrican.com:8310/ecw/barclays/                                                    0         -           -       27       0         1   3312 ms      20078 ms         0/s
com.ericsson.em.am.ca.boab2w                                    http://10.117.71.235:7878/mfmbs/mbintf                                                                0         1         128      480       0         -     26 ms       1053 ms         0/s
  /mfmbs/mbintf/MTNFin.jsp                                      http://10.117.71.235:7878/mfmbs/mbintf/MTNFin.jsp                                                     0         -           -      480       0         -     26 ms       1053 ms         0/s
com.ericsson.em.am.ca.boab2w                                    http://10.117.71.235:7878/mfmbs/mbintf                                                                0         1         128      585       0         -     25 ms       1033 ms         0/s
  /mfmbs/mbintf/MTNPull.jsp                                     http://10.117.71.235:7878/mfmbs/mbintf/MTNPull.jsp                                                    0         -           -      585       0         -     25 ms       1033 ms         0/s
com.ericsson.em.am.ca.boaw2b                                    http://10.117.71.235:7878/mfmbs/mbintf                                                                0         0         128       53       0         -     48 ms        156 ms         0/s
  /mfmbs/mbintf/MTNFin.jsp                                      http://10.117.71.235:7878/mfmbs/mbintf/MTNFin.jsp                                                     0         -           -       53       0         -     48 ms        156 ms         0/s
com.ericsson.em.am.ca.boaw2b                                    http://10.117.71.235:7878/mfmbs/mbintf                                                                0         0         128       22       0         -   5815 ms      11043 ms         0/s
  /mfmbs/mbintf/MTNPush.jsp                                     http://10.117.71.235:7878/mfmbs/mbintf/MTNPush.jsp                                                    0         -           -       22       0         -   5815 ms      11043 ms         0/s
com.ericsson.em.am.ca.cba                                       https://f5.mtn.co.ug:9004/cbaintegration/mtnug                                                        0         2          80     8996       1         -    878 ms      27111 ms         0/s
  /cbaintegration/mtnug/                                        https://f5.mtn.co.ug:9004/cbaintegration/mtnug/                                                       0         -           -     8996       1         -    878 ms      27111 ms         0/s
com.ericsson.em.am.ca.cba                                       https://f5.mtn.co.ug:9004/cbaintegration/mtnug                                                        0         5          80    52334      48         -    497 ms      26824 ms         2/s
  /cbaintegration/mtnug/                                        https://f5.mtn.co.ug:9004/cbaintegration/mtnug/                                                       0         -           -    52334      48         -    497 ms      26824 ms         2/s
